CONTAINER ID   NAME                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
3cc254b71af8   scli-prod-web-1                              0.00%     5.488MiB / 15.61GiB   0.03%     282kB / 1.04MB    6.75MB / 8.19kB   5
f3a67e7faad7   scli-prod-api-gateway-1                      0.19%     353.8MiB / 15.61GiB   2.21%     153MB / 602MB     6.49MB / 2MB      100
6f3089c4713d   scli-prod-reservas-solicitudes-service-1     0.18%     543.9MiB / 15.61GiB   3.40%     154MB / 426MB     44.3MB / 2.04MB   68
c7c86a0d6fde   scli-prod-usuarios-service-1                 0.23%     377.8MiB / 15.61GiB   2.36%     1.99MB / 17.9MB   6.89MB / 2.02MB   49
0576f3367c19   scli-prod-auth-service-1                     0.13%     464.6MiB / 15.61GiB   2.91%     9.91MB / 23.2MB   16.2MB / 2.08MB   54
3cb20fc11b9c   scli-prod-academico-laboratorios-service-1   0.15%     377.1MiB / 15.61GiB   2.36%     1.31MB / 15.4MB   8.81MB / 2.06MB   52
c0805c9ec749   scli-prod-grafana-1                          0.07%     61.52MiB / 15.61GiB   0.38%     9.62MB / 424kB    64.5MB / 53.6MB   14
2324092124cc   scli-prod-otel-collector-1                   0.31%     71.93MiB / 15.61GiB   0.45%     769MB / 117MB     28.1MB / 0B       11
495ee3ba8ca7   scli-prod-loki-1                             0.58%     133.2MiB / 15.61GiB   0.83%     14.2MB / 1.79MB   40.4MB / 76.9MB   11
2d83c1dc2d55   scli-prod-prometheus-1                       0.03%     62.44MiB / 15.61GiB   0.39%     330MB / 12MB      34.4MB / 66.2MB   10
69c324771ab1   scli-prod-cadvisor-1                         1.70%     52.39MiB / 15.61GiB   0.33%     1.17MB / 31.3MB   13MB / 0B         14
01661e648d22   scli-prod-tempo-1                            0.24%     264.5MiB / 15.61GiB   1.65%     84.9MB / 2.39MB   119MB / 590MB     11
f2dc97a92823   scli-cockroach-academico                     9.48%     678MiB / 15.61GiB     4.24%     3.24MB / 3.01MB   122MB / 3.42GB    16
c93632dac88b   reservas-db-node-3                           98.55%    1.033GiB / 15.61GiB   6.62%     1.52GB / 2.21GB   390MB / 16.8GB    17
4dc514e39488   reservas-db-node-2                           10.01%    752.8MiB / 15.61GiB   4.71%     1.76GB / 951MB    439MB / 17.1GB    17
259331a8e4eb   reservas-db-node-1                           10.00%    1.12GiB / 15.61GiB    7.17%     1.84GB / 1.95GB   428MB / 17GB      17
96900f6ec51b   scli-cockroach-auth                          8.89%     715.6MiB / 15.61GiB   4.48%     5.25MB / 10.5MB   117MB / 3.4GB     16
46fef70e501f   scli-cockroach-usuarios                      2.53%     666.7MiB / 15.61GiB   4.17%     2.95MB / 3.02MB   336MB / 2.72GB    13
